geographic_area,indicator,sex,current_age,wealth_quintile,residence,mother's_education_level,time_period,obs_value,sub_sector,risk_category
Kenya,indicator_7,Total,Under 5 years old,total,total,secondary and higher,2000,8.5,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,middle,total,total,2000,33.5,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,fourth,total,total,2000,48.4,DIAR,Medium
Kenya,indicator_19,Total,Under 5 years old,highest,total,total,2000,46.6,DIAR,Medium
Kenya,indicator_10,Total,Under 5 years old,total,total,total,2000,3.0,MALA,Low
Kenya,indicator_10,Male,Under 5 years old,total,total,total,2000,3.0,MALA,Low
Kenya,indicator_19,Total,Under 5 years old,total,rural,total,2000,53.5,DIAR,High
Kenya,indicator_19,Total,Under 5 years old,total,urban,total,2000,33.8,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,total,total,total,2000,39.2,DIAR,Medium
Kenya,indicator_10,Total,Under 5 years old,total,urban,total,2000,4.0,MALA,Low
Kenya,indicator_10,Total,Under 5 years old,total,rural,total,2000,3.0,MALA,Low
Kenya,indicator_21,Female,Under 5 years old,total,total,total,2000,14.0,DIAR,Low
Kenya,indicator_10,Total,Under 5 years old,lowest,total,total,2000,2.0,MALA,Low
Kenya,indicator_19,Total,Under 5 years old,second,total,total,2000,39.3,DIAR,Medium
Kenya,indicator_21,Male,Under 5 years old,total,total,total,2000,16.0,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,lowest,total,total,2000,14.0,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,second,total,total,2000,16.0,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,middle,total,total,2000,14.0,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,fourth,total,total,2000,16.0,DIAR,Low
Kenya,indicator_10,Total,Under 5 years old,second,total,total,2000,3.0,MALA,Low
Kenya,indicator_21,Total,Under 5 years old,highest,total,total,2000,14.0,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,total,rural,total,2000,12.0,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,total,urban,total,2000,16.0,DIAR,Low
Kenya,indicator_10,Total,Under 5 years old,middle,total,total,2000,3.0,MALA,Low
Kenya,indicator_10,Total,Under 5 years old,fourth,total,total,2000,3.0,MALA,Low
Kenya,indicator_10,Total,Under 5 years old,highest,total,total,2000,4.0,MALA,Low
Kenya,indicator_19,Total,Under 5 years old,lowest,total,total,2000,32.1,DIAR,Low
Kenya,indicator_19,Male,Under 5 years old,total,total,total,2000,39.6,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,urban,total,2000,10.1,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,total,rural,total,2000,6.9,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,highest,total,total,2000,11.3,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,fourth,total,total,2000,5.7,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,middle,total,total,2000,7.3,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,second,total,total,2000,8.4,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,lowest,total,total,2000,12.2,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2000,8.5,DIAR,Low
Kenya,indicator_7,Male,Under 5 years old,total,total,total,2000,9.0,DIAR,Low
Kenya,indicator_7,Female,Under 5 years old,total,total,total,2000,9.5,DIAR,Low
Kenya,indicator_19,Female,Under 5 years old,total,total,total,2000,38.7,DIAR,Medium
Kenya,indicator_10,Female,Under 5 years old,total,total,total,2000,3.0,MALA,Low
Kenya,indicator_21,Total,Under 5 years old,total,total,total,2000,15.0,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,total,2000,9.2,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,primary education,2000,9.7,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,total,total,total,2003,33.0,DIAR,Medium
Kenya,indicator_19,Female,Under 5 years old,total,total,total,2003,31.6,DIAR,Low
Kenya,indicator_19,Male,Under 5 years old,total,total,total,2003,27.2,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,lowest,total,total,2003,29.7,DIAR,Low
Kenya,indicator_10,Female,Under 5 years old,total,total,total,2003,4.1,MALA,Low
Kenya,indicator_10,Total,Under 5 years old,total,total,total,2003,4.6,MALA,Low
Kenya,indicator_19,Total,Under 5 years old,second,total,total,2003,26.6,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,middle,total,total,2003,26.4,DIAR,Low
Kenya,indicator_19,Total,Under 5 years old,fourth,total,total,2003,27.7,DIAR,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,total,2003,29.7,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,rural,total,2003,29.5,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,highest,total,total,2003,37.8,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,total,secondary and higher,2003,29.9,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,fourth,total,total,2003,32.7,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,middle,total,total,2003,25.2,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,second,total,total,2003,25.0,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,lowest,total,total,2003,29.7,DIAR,Medium
Kenya,indicator_7,Male,Under 5 years old,total,total,total,2003,26.6,DIAR,Medium
Kenya,indicator_7,Female,Under 5 years old,total,total,total,2003,33.5,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2003,30.4,DIAR,Medium
Kenya,indicator_7,Total,Under 5 years old,total,total,primary education,2003,29.5,DIAR,Medium
Kenya,indicator_19,Total,Under 5 years old,highest,total,total,2003,35.7,DIAR,Medium
Kenya,indicator_24,Total,Under 5 years old,total,total,total,2003,49.0,PNEU,Low
Kenya,indicator_21,Male,Under 5 years old,total,total,total,2003,32.0,DIAR,Medium
Kenya,indicator_24,Total,Under 5 years old,total,urban,total,2003,63.0,PNEU,Medium
Kenya,indicator_21,Total,Under 5 years old,lowest,total,total,2003,30.0,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,second,total,total,2003,31.0,DIAR,Low
Kenya,indicator_10,Total,Under 5 years old,fourth,total,total,2003,4.8,MALA,Low
Kenya,indicator_24,Total,Under 5 years old,total,rural,total,2003,46.0,PNEU,Low
Kenya,indicator_21,Total,Under 5 years old,middle,total,total,2003,36.0,DIAR,Medium
Kenya,indicator_10,Total,Under 5 years old,lowest,total,total,2003,1.2,MALA,Low
Kenya,indicator_21,Total,Under 5 years old,fourth,total,total,2003,31.0,DIAR,Low
Kenya,indicator_21,Total,Under 5 years old,highest,total,total,2003,40.0,DIAR,Medium
Kenya,indicator_10,Total,Under 5 years old,second,total,total,2003,2.2,MALA,Low
Kenya,indicator_21,Total,Under 5 years old,total,rural,total,2003,33.0,DIAR,Medium
