geographic_area,indicator,sex,current_age,wealth_quintile,residence,mother's_education_level,time_period,obs_value,sub_sector,category,risk_category
Kenya,indicator_7,Total,Under 5 years old,total,total,secondary and higher,2000,8.5,DIAR,child,Low
Kenya,indicator_19,Total,Under 5 years old,middle,total,total,2000,33.5,DIAR,child,Low
Kenya,indicator_19,Total,Under 5 years old,fourth,total,total,2000,48.4,DIAR,child,Medium
Kenya,indicator_19,Total,Under 5 years old,highest,total,total,2000,46.6,DIAR,child,Medium
Kenya,indicator_10,Total,Under 5 years old,total,total,total,2000,3.0,MALA,child,Low
Kenya,indicator_10,Male,Under 5 years old,total,total,total,2000,3.0,MALA,child,Low
Kenya,indicator_19,Total,Under 5 years old,total,rural,total,2000,53.5,DIAR,child,High
Kenya,indicator_19,Total,Under 5 years old,total,urban,total,2000,33.8,DIAR,child,Low
Kenya,indicator_19,Total,Under 5 years old,total,total,total,2000,39.2,DIAR,child,Medium
Kenya,indicator_10,Total,Under 5 years old,total,urban,total,2000,4.0,MALA,child,Low
Kenya,indicator_10,Total,Under 5 years old,total,rural,total,2000,3.0,MALA,child,Low
Kenya,indicator_21,Female,Under 5 years old,total,total,total,2000,14.0,DIAR,child,Low
Kenya,indicator_10,Total,Under 5 years old,lowest,total,total,2000,2.0,MALA,child,Low
Kenya,indicator_19,Total,Under 5 years old,second,total,total,2000,39.3,DIAR,child,Medium
Kenya,indicator_21,Male,Under 5 years old,total,total,total,2000,16.0,DIAR,child,Low
Kenya,indicator_21,Total,Under 5 years old,lowest,total,total,2000,14.0,DIAR,child,Low
Kenya,indicator_21,Total,Under 5 years old,second,total,total,2000,16.0,DIAR,child,Low
Kenya,indicator_21,Total,Under 5 years old,middle,total,total,2000,14.0,DIAR,child,Low
Kenya,indicator_2,Total,15 to 49 years old,total,total,total,2000,76.2,ANTENATAL,mother,Low
Kenya,indicator_21,Total,Under 5 years old,fourth,total,total,2000,16.0,DIAR,child,Low
Kenya,indicator_10,Total,Under 5 years old,second,total,total,2000,3.0,MALA,child,Low
Kenya,indicator_21,Total,Under 5 years old,highest,total,total,2000,14.0,DIAR,child,Low
Kenya,indicator_2,Total,15 to 49 years old,total,urban,total,2000,80.7,ANTENATAL,mother,Low
Kenya,indicator_21,Total,Under 5 years old,total,rural,total,2000,12.0,DIAR,child,Low
Kenya,indicator_21,Total,Under 5 years old,total,urban,total,2000,16.0,DIAR,child,Low
Kenya,indicator_10,Total,Under 5 years old,middle,total,total,2000,3.0,MALA,child,Low
Kenya,indicator_10,Total,Under 5 years old,fourth,total,total,2000,3.0,MALA,child,Low
Kenya,indicator_10,Total,Under 5 years old,highest,total,total,2000,4.0,MALA,child,Low
Kenya,indicator_19,Total,Under 5 years old,lowest,total,total,2000,32.1,DIAR,child,Low
Kenya,indicator_25,Total,15 to 49 years old,total,rural,total,2000,34.4,DELIVERY,mother,Low
Kenya,indicator_19,Male,Under 5 years old,total,total,total,2000,39.6,DIAR,child,Medium
Kenya,indicator_7,Total,Under 5 years old,total,urban,total,2000,10.1,DIAR,child,Low
Kenya,indicator_7,Total,Under 5 years old,total,rural,total,2000,6.9,DIAR,child,Low
Kenya,indicator_7,Total,Under 5 years old,highest,total,total,2000,11.3,DIAR,child,Low
Kenya,indicator_13,Total,Total,total,total,total,2000,43.0,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_7,Total,Under 5 years old,fourth,total,total,2000,5.7,DIAR,child,Low
Kenya,indicator_7,Total,Under 5 years old,middle,total,total,2000,7.3,DIAR,child,Low
Kenya,indicator_7,Total,Under 5 years old,second,total,total,2000,8.4,DIAR,child,Low
Kenya,indicator_7,Total,Under 5 years old,lowest,total,total,2000,12.2,DIAR,child,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,never attended an education programme / no schooling,2000,8.5,DIAR,child,Low
Kenya,indicator_2,Total,15 to 49 years old,total,rural,total,2000,74.4,ANTENATAL,mother,Low
Kenya,indicator_14,Total,Total,total,total,total,2000,5488.4,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_7,Male,Under 5 years old,total,total,total,2000,9.0,DIAR,child,Low
Kenya,indicator_7,Female,Under 5 years old,total,total,total,2000,9.5,DIAR,child,Low
Kenya,indicator_19,Female,Under 5 years old,total,total,total,2000,38.7,DIAR,child,Medium
Kenya,indicator_25,Total,15 to 49 years old,total,urban,total,2000,63.8,DELIVERY,mother,Medium
Kenya,indicator_10,Female,Under 5 years old,total,total,total,2000,3.0,MALA,child,Low
Kenya,indicator_25,Total,15 to 49 years old,total,total,total,2000,42.6,DELIVERY,mother,Medium
Kenya,indicator_21,Total,Under 5 years old,total,total,total,2000,15.0,DIAR,child,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,total,2000,9.2,DIAR,child,Low
Kenya,indicator_7,Total,Under 5 years old,total,total,primary education,2000,9.7,DIAR,child,Low
Kenya,indicator_18,Total,Total,total,total,total,2000,445.12,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_14,Total,Total,total,total,total,2001,5507.0,MATERNAL_MORTALITY,mother,Low
Kenya,indicator_13,Total,Total,total,total,total,2001,45.0,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_1,Total,15 to 19 years old,total,total,total,2001,135.7,FERTILITY,mother,High
Kenya,indicator_1,Total,10 to 14 years old,total,total,total,2001,8.1,FERTILITY,mother,Medium
Kenya,indicator_18,Total,Total,total,total,total,2001,433.38,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_13,Total,Total,total,total,total,2002,45.0,MATERNAL_MORTALITY,mother,Medium
Kenya,indicator_18,Total,Total,total,total,total,2002,436.42,MATERNAL_MORTALITY,mother,Medium
